Establishment Name,Inspection Date,Severity,Latitude,Longitude,Infraction Details
AROMA FINE INDIAN CUISINE,2022-06-30,C - Crucial,43.64647,-79.38995,Fail to protect food from contamination or adulteration - Sec. 26(1) 
ARSENIOS KITCHEN,2022-08-08,C - Crucial,43.70757,-79.3023,Food premise maintained in manner permitting adverse effect on food - Sec. 7(1)(a)(iii) 
ARSENIOS KITCHEN,2022-12-19,C - Crucial,43.70757,-79.3023,Food premise maintained in manner permitting adverse effect on food - Sec. 7(1)(a)(iii) 
ARSENIOS KITCHEN,2023-08-01,C - Crucial,43.70757,-79.3023,Food premise maintained in manner permitting adverse effect on food - Sec. 7(1)(a)(iii) 
ASIA DELIGHT,2022-07-27,C - Crucial,43.7571,-79.31241,Maintain potentially hazardous foods at internal temperature between 4 C and 60 C -  Sec. 27(1)
ASIA DELIGHT,2022-07-27,C - Crucial,43.7571,-79.31241,Fail to protect food from contamination or adulteration - Sec. 26(1) 
ASIA DELIGHT,2023-10-25,C - Crucial,43.7571,-79.31241,Fail to protect food from contamination or adulteration - Sec. 26(1) 
ASIA DELIGHT,2024-06-06,C - Crucial,43.7571,-79.31241,Fail to protect food from contamination or adulteration - Sec. 26(1) 
ASIA FOOD MART,2024-02-28,C - Crucial,43.8144,-79.29644,Store potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
ASIAN BUFFET,2023-06-21,C - Crucial,43.7109,-79.56888,Fail to protect food from contamination or adulteration - Sec. 26(1) 
ASIAN BUFFET,2023-06-21,C - Crucial,43.7109,-79.56888,Maintain potentially hazardous foods at internal temperature between 4 C and 60 C -  Sec. 27(1)
ASIAN FOOD CENTRE GOCERY SHOP,2023-06-23,C - Crucial,43.74227,-79.60457,Fail to protect food from contamination or adulteration - Sec. 26(1) 
ASIAN GOURMET,2024-03-11,C - Crucial,43.71693,-79.44743,Fail to protect food from contamination or adulteration - Sec. 26(1) 
ASIAN GOURMET,2024-03-11,C - Crucial,43.71693,-79.44743,Store potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
ASIAN GOURMET,2024-03-11,C - Crucial,43.71693,-79.44743,Fail to ensure food handler in food premise washes hands as necessary to prevent contamination of food - Sec. 33(1)(e) 
ASIAN LEGEND,2024-03-11,C - Crucial,43.72691,-79.34211,Maintain potentially hazardous foods at internal temperature between 4 C and 60 C -  Sec. 27(1)
ASIAN LEGEND,2024-03-11,C - Crucial,43.72691,-79.34211,Fail to ensure food handler in food premise washes hands as necessary to prevent contamination of food - Sec. 33(1)(e) 
ASMERA BAR AND RESTAURANT,2024-04-18,C - Crucial,43.68192,-79.33133,Fail to protect food from contamination or adulteration - Sec. 26(1) 
ASTORIA,2024-01-31,C - Crucial,43.67784,-79.35183,Fail to protect food from contamination or adulteration - Sec. 26(1) 
ASTRO VARIETY & GIFTS,2023-02-03,C - Crucial,43.7079,-79.45361,Fail to ensure room kept free from live birds or animals - Sec. 14(1)
