Establishment Name,Inspection Date,Severity,Latitude,Longitude,Infraction Details
Aquarela Restaurant,2022-06-22,C - Crucial,43.722594198242284,-79.49785362997055,Fail to protect food from contamination or adulteration - Sec. 26(1) 
Aquarela Restaurant,2022-06-22,C - Crucial,43.72262732010012,-79.49784069923669,Fail to process food in manner safe to eat - Sec. 26(2)
Aquarela Restaurant,2022-06-22,C - Crucial,43.722681578870706,-79.49811135671726,Store potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
Atithi Pure Veg,2022-10-19,C - Crucial,43.77593553629843,-79.23071420320677,Fail to ensure food handler in food premise washes hands as necessary to prevent contamination of food - Sec. 33(1)(e) 
Azad Supermarket,2022-12-09,C - Crucial,43.69452970868141,-79.29302420355803,Fail to protect food from contamination or adulteration - Sec. 26(1) 
B'NAI BRITH CANADA,2022-07-07,C - Crucial,43.75169034893984,-79.43731265561748,Store potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
B'S SIZZLING KITCHEN,2022-08-24,C - Crucial,43.60367110027177,-79.53717769641982,Fail to ensure storage pallets designed to protect against contamination - Sec. 31
B.K. Natural Foods,2022-12-01,C - Crucial,43.72466316749389,-79.30111488344774,Refrigerate potentially hazardous foods at internal temperature above 4 C - Sec. 30(a)
BABOS DONER POINT,2024-04-04,C - Crucial,43.693299990199776,-79.46170471908451,Fail to protect food from contamination or adulteration - Sec. 26(1) 
BABOS DONER POINT,2024-04-04,C - Crucial,43.6927969338385,-79.46206851664537,Fail to ensure food handler in food premise washes hands as necessary to prevent contamination of food - Sec. 33(1)(e) 
BABOS DONER POINT,2024-04-04,C - Crucial,43.693370680785726,-79.46208846412871,Fail to process food in manner safe to eat - Sec. 26(2)
BABU CATERING & TAKE OUT,2023-02-14,C - Crucial,43.79198770360504,-79.25031124826263,Maintain potentially hazardous foods at internal temperature between 4 C and 60 C -  Sec. 27(1)
BABU CATERING & TAKE OUT,2023-02-14,C - Crucial,43.79153118192007,-79.25041965276922,Fail to protect food from contamination or adulteration - Sec. 26(1) 
BAGELS ON FIRE,2023-06-27,C - Crucial,43.6732523879064,-79.28694499879852,Store potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
BAHARAK MARKET,2023-04-20,C - Crucial,43.74175292531187,-79.31821528896786,Fail to protect food from contamination or adulteration - Sec. 26(1) 
BAHARAK MARKET,2024-03-19,C - Crucial,43.74174059151932,-79.31789780579707,Fail to protect food from contamination or adulteration - Sec. 26(1) 
